[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1716474793.6337683
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\DLLs\select.pyd first seen with mtime 1686114094.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1716474793.8301077
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\encodings\utf_8.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\urllib\response.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\copy.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\account\views.py first seen with mtime 1716506776.779415
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\account\internal\flows\login_by_code.py first seen with mtime 1716506776.7819483
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\email\policy.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1716474791.8175583
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1716474793.618686
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1716474791.0424733
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\email\_policybase.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\DLLs\_uuid.pyd first seen with mtime 1686114094.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\gzip.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1716474793.877337
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\models.py first seen with mtime 1716506776.7672966
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\account\internal\flows\logout.py first seen with mtime 1716506776.7824492
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1716474793.6156833
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1716474791.8180585
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\account\admin.py first seen with mtime 1716506776.7709036
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\backends\postgresql\creation.py first seen with mtime 1716474793.6974566
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1716474793.8738332
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1716474793.6297426
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\zoneinfo\_common.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\bisect.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1716474791.8165576
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\manage.py first seen with mtime 1716470963.9602277
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1716474792.9211948
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\signals.py first seen with mtime 1716474793.6025472
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1716474793.8702517
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1716474793.6277409
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\wsgiref\handlers.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1716474793.6307435
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1716474793.6678417
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1716474789.4501712
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\http\response.py first seen with mtime 1716474793.809023
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\email\iterators.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1716474793.732715
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\urllib\error.py first seen with mtime 1686114018.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1716474793.8225777
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1716474793.6598315
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1716474793.738721
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1716474793.66634
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1716474793.6086483
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\backend_main\__init__.py first seen with mtime 1716470963.9520576
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1716474793.5920117
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1716474793.7266264
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1716474793.8793385
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\backend_main\settings.py first seen with mtime 1716508024.296693
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1716474793.621188
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\frontend\__init__.py first seen with mtime 1716470963.9557214
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\re\_compiler.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1716474793.8798382
